symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
CHGG,True,-5.0366,8.8984,41.72,864956
CMCM,False,-4.717,5.1205,3.11,94600
CHK,False,-10.8974,9.7561,1.45,20545586
CHMI,False,-3.6962,1.5007,13.81,109586
CPK,False,-3.3323,2.3376,92.71,50636
CVX,True,-1.9251,3.4677,122.39,3275914
CHS,False,-7.837,7.5342,3.23,1354403
CHKR,False,-3.7736,2.4876,1.0,26299
CHSP,False,-2.2778,1.701,26.18,159146
CIM,True,-2.001,1.9372,19.75,709925
CEA,False,-8.5988,3.82,24.11,1523
CGA,False,-7.5571,3.0211,3.65,1167
CHN,False,-3.7321,1.22,18.87,1176
LFC,False,-4.8741,2.5,11.61,193840
CHL,True,-3.5096,2.0489,40.5,331991
DL,False,-5.4435,2.7083,4.47,458
COE,False,-6.9174,5.1585,5.9,0
XRF,False,-8.5442,9.7849,0.57,51114
ZNH,False,-7.7122,4.5,29.14,13275
CHU,False,-4.4838,1.6376,9.23,157419
CMG,True,-2.2931,5.1866,816.96,292234
CHH,False,-3.8193,5.4955,90.48,136610
SNP,False,-2.899,1.3,59.9,91476
CB,True,-2.4824,3.2984,158.83,820063
CYD,False,-4.2135,3.3428,13.98,9956
CHA,False,-2.4971,1.3863,43.54,14123
CHT,False,-4.5267,1.0174,34.2,41411
CHD,True,-1.5529,1.826,78.43,744434
CIEN,True,-3.644,3.4424,43.2,1178677
CCC,False,-2.9703,4.4192,17.23,128110
CI,True,-3.3904,2.9686,169.47,878870
XEC,True,-6.8088,6.3086,42.39,1096273
CBB,False,-13.3475,13.5831,4.75,235670
CNK,True,-4.4022,4.527,38.13,639543
CINR,False,-4.474,3.7198,15.12,2492
CIR,False,-12.6418,3.8139,36.3,135739
CISN,False,-32.4873,3.1414,6.66,195546
C,True,-3.9488,2.4562,64.83,7931629
BLW,False,-0.8431,0.6597,15.4,50221
CIT,True,-5.4557,2.3318,42.88,248102
CIO,False,-1.2346,2.3425,13.08,103300
CVEO,False,-4.2424,10.3226,1.49,37534
CIA,False,-4.9664,4.1949,6.74,30768
CFG,True,-4.4566,6.3836,33.13,2453451
CCO,False,-12.8878,5.49,2.37,386408
CTR,False,-2.2678,0.9,8.85,36706
CLW,False,-13.7545,17.1884,17.65,64559
EMO,False,-2.8761,1.524,8.69,67532
CLH,True,-3.6959,6.7499,76.46,187963
CWEN,True,-3.288,3.18,17.91,263638
CEM,False,-2.7778,0.8857,11.35,75259
CWEN.A,False,-4.3608,3.43,16.92,155068
CLF,False,-9.5685,4.66,8.58,5854733
CLPR,False,-7.6596,4.689,11.13,6575
CLDR,False,-4.4286,6.1873,6.76,3268619
CNF,False,-4.6346,4.2991,5.4,0
CMSA,False,-1.427,0.9477,26.52,3033
CMS,True,-1.4713,1.6241,60.09,1060133
CMSC,False,-1.2755,0.9735,27.42,1756
CLX,True,-3.9729,2.1449,158.96,497200
CNHI,False,-4.1537,2.8183,9.03,577187
CNA,False,-1.6355,2.6037,48.08,74379
CEO,False,-4.1749,2.0292,151.06,47215
